NODE_NUMBER, occurences 
5724,76
3211,67
1885,67
9763,66
732,65
1564,64
4430,63
577,63
3351,63
9471,62
8512,62
8771,61
7762,61
2671,60
6246,60
299,60
9586,60
6866,59
894,59
5977,59
845,59
4037,59
2543,59
3732,58
908,58
638,58
2658,58
1063,58
8188,57
2824,57
6000,57
6447,57
80,57
9560,57
1689,57
2804,57
3125,56
7140,56
5737,56
6552,56
7718,56
8424,56
654,56
4416,55
2730,55
5155,55
1034,55
5381,55
7643,55
7692,55
1390,55
8811,55
5525,55
6182,55
9964,54
3647,54
8492,54
565,54
3088,54
7964,54
9824,54
2485,54
1965,54
2372,54
8415,54
1022,54
7765,54
1108,54
5668,54
5947,53
6460,53
8382,53
8156,53
1956,53
5725,53
6853,53
2151,53
6285,53
8597,53
9133,53
7494,53
1215,52
297,52
7044,52
5810,52
6995,52
282,52
2418,52
3413,52
6517,52
3819,52
4023,52
7236,52
716,52
5662,52
8982,51
48,51
17,51
5171,51
5859,51
9649,51
2255,51
8841,51
7479,51
5158,51
162,51
2492,51
3031,51
494,51
4212,51
1766,51
2885,51
9093,50
9,50
1422,50
7879,50
4839,50
1231,50
1279,50
2797,50
7129,50
3393,50
499,50
9901,50
9855,50
3189,50
8102,50
7975,50
9678,49
5432,49
7346,49
1438,49
6944,49
6346,49
7925,49
7743,49
4180,49
993,49
7137,49
1411,49
6591,49
151,49
7666,49
3712,49
2636,49
7933,49
2805,49
3115,49
5020,49
8572,49
7770,49
895,49
2055,49
4304,49
5528,49
6750,49
7936,49
8561,49
6339,49
3874,48
533,48
745,48
2289,48
7459,48
8474,48
8160,48
2743,48
5681,48
560,48
40,48
4403,48
571,48
4382,48
5898,48
8645,48
9100,48
6152,48
2881,48
9366,48
4482,48
1342,48
5973,48
9127,48
306,48
4175,48
9762,48
9033,48
9302,48
5361,48
7480,48
8046,48
2205,47
6378,47
4563,47
5719,47
8291,47
8391,47
8792,47
3070,47
5019,47
3850,47
1711,47
192,47
4208,47
4957,47
9223,47
5771,47
8878,47
8217,47
846,47
3272,47
1521,47
8964,47
3252,47
7329,47
4202,46
7882,46
9786,46
99,46
8793,46
3062,46
786,46
1335,46
46,46
52,46
3214,46
6929,46
5862,46
5707,46
9279,46
8050,46
6465,46
4922,46
5272,46
5030,46
3814,46
9599,46
2936,46
9949,46
226,46
7027,46
7208,46
5969,46
8272,46
8238,46
8880,46
6709,46
4797,46
9802,46
4323,46
9665,46
2681,46
5033,46
1826,45
6304,45
5531,45
7080,45
7001,45
660,45
1658,45
7927,45
53,45
4188,45
9021,45
5688,45
963,45
5320,45
1717,45
7924,45
3039,45
9659,45
5554,45
7066,45
1653,45
6209,45
9195,45
5012,45
165,45
1060,45
4713,45
2698,45
1273,45
5368,45
1949,45
9783,45
1852,45
1670,45
1897,45
9849,45
1801,45
9884,45
5625,45
4678,45
4200,45
9314,45
4093,45
8203,45
5501,45
5258,45
6456,45
1907,44
6621,44
7,44
3421,44
7985,44
2795,44
523,44
94,44
3269,44
8524,44
454,44
9970,44
4506,44
472,44
4962,44
9689,44
2119,44
7665,44
9095,44
2913,44
4888,44
4983,44
1565,44
9969,44
912,44
1729,44
3522,44
478,44
310,44
5197,44
2931,44
6924,44
2335,44
9577,44
1052,44
6340,44
3524,44
7332,44
3481,44
2111,44
5984,44
518,44
1265,44
552,44
8686,44
2479,44
8310,43
5426,43
5108,43
6405,43
9663,43
7877,43
3629,43
9196,43
7791,43
4252,43
8945,43
3645,43
9891,43
5148,43
5761,43
9751,43
5693,43
72,43
8609,43
1014,43
7342,43
6464,43
4477,43
780,43
3695,43
8096,43
6888,43
1806,43
7678,43
253,43
6808,43
7310,43
671,43
1919,43
7050,43
4586,43
1715,43
8536,43
8364,43
3330,43
5654,43
2747,43
4628,43
521,43
241,43
8631,43
8775,43
9210,43
8581,43
7602,43
5318,43
8832,43
2696,43
8488,43
8683,43
8324,43
3650,43
4363,43
4672,43
816,43
3402,43
2250,43
4245,42
1964,42
9565,42
215,42
6768,42
6955,42
6843,42
3387,42
4835,42
6732,42
2819,42
2253,42
280,42
3855,42
702,42
9209,42
6674,42
3430,42
8427,42
4046,42
4129,42
2386,42
8866,42
2133,42
2286,42
913,42
4047,42
4214,42
5829,42
527,42
1859,42
7722,42
6114,42
9842,42
2609,42
5964,42
7990,42
5715,42
8290,42
5785,42
2974,42
4745,42
6084,42
1510,42
8265,42
2015,42
6855,42
616,42
7241,42
5419,42
5584,42
3443,42
7684,42
6463,42
4829,41
1093,41
3036,41
5734,41
9608,41
1898,41
8873,41
2722,41
6590,41
2888,41
9285,41
7435,41
4880,41
6764,41
752,41
6153,41
5832,41
41,41
7358,41
2655,41
417,41
243,41
7983,41
4637,41
9132,41
1162,41
4853,41
3539,41
6475,41
5541,41
6158,41
9163,41
2644,41
5390,41
5217,41
7220,41
4182,41
130,41
3332,41
4071,41
9711,41
1754,41
8888,41
1927,41
1941,41
9340,41
1869,41
4197,41
8903,41
7059,41
5049,41
6426,41
7383,41
218,41
9327,41
7809,41
7922,41
3508,41
6672,41
2544,41
9006,41
3514,41
759,41
1507,41
2513,41
9613,41
8079,41
424,41
2714,41
496,41
7226,41
851,41
9679,41
3247,41
7738,41
684,41
710,41
1920,40
9828,40
7348,40
3144,40
6937,40
9904,40
5744,40
3323,40
4859,40
5510,40
5464,40
8497,40
5365,40
5140,40
743,40
2932,40
6272,40
4116,40
3238,40
7829,40
6076,40
815,40
2465,40
6068,40
1645,40
3320,40
995,40
5185,40
3754,40
9655,40
2670,40
5212,40
5124,40
7673,40
3263,40
5357,40
2827,40
7287,40
4476,40
9628,40
9578,40
5577,40
1478,40
9441,40
9729,40
1993,40
1511,40
5905,40
6394,40
1144,40
7963,40
2505,40
878,40
8129,40
8161,40
8574,40
4564,40
5110,40
3620,40
9668,40
1077,40
3427,40
5576,40
8243,40
2196,40
8091,40
1518,40
8304,40
5167,40
6287,40
9268,40
6100,40
2821,40
7840,40
6659,40
8862,40
9412,40
4170,40
4132,39
8335,39
8828,39
4876,39
9724,39
158,39
7011,39
6707,39
3950,39
5022,39
8021,39
637,39
4062,39
1381,39
1344,39
5286,39
1086,39
2717,39
7473,39
7216,39
726,39
3255,39
428,39
4843,39
8385,39
9601,39
2116,39
4299,39
8911,39
2626,39
5750,39
6827,39
1368,39
4290,39
1049,39
2810,39
2620,39
1230,39
7775,39
8998,39
2785,39
5281,39
8232,39
8490,39
8585,39
4038,39
1224,39
5705,39
5336,39
3926,39
8673,39
7634,39
6522,39
467,39
6499,39
7790,39
2980,39
9084,39
6064,39
2470,39
9747,39
3554,39
4274,39
4365,39
7017,39
2989,39
2872,39
7322,39
9011,39
9016,39
4377,39
2120,39
2170,39
4151,39
2526,39
2829,39
1165,39
2365,39
3132,39
989,39
6199,39
3051,39
4293,39
3109,39
4327,38
4275,38
2875,38
2835,38
3354,38
9938,38
2937,38
2707,38
3665,38
5979,38
7976,38
7414,38
8650,38
2267,38
370,38
6252,38
5307,38
439,38
8219,38
56,38
5713,38
9847,38
63,38
3267,38
630,38
2047,38
7648,38
2293,38
2139,38
5517,38
7657,38
5228,38
4743,38
4660,38
1214,38
5436,38
8413,38
2868,38
4739,38
5957,38
7628,38
8997,38
4742,38
8690,38
2102,38
2408,38
9180,38
2159,38
5954,38
1315,38
1815,38
9800,38
4495,38
8204,38
2303,38
6629,38
5150,38
1914,38
2695,38
211,38
3328,38
3113,38
6401,38
5438,38
1149,38
944,38
8751,38
3122,38
5242,38
2411,38
6865,38
2455,38
477,38
9491,38
7817,38
7388,38
5708,38
5472,38
5319,38
3001,38
5193,38
6786,38
6034,38
9779,38
427,38
2778,38
9685,38
6508,38
1318,38
3918,38
9843,38
3578,38
8285,38
3236,38
3902,38
5723,38
9612,38
876,38
4251,38
7739,38
8720,37
3739,37
3877,37
6108,37
7486,37
1857,37
5809,37
6474,37
2003,37
8175,37
5001,37
7289,37
6997,37
4512,37
3279,37
2723,37
3250,37
6504,37
8987,37
2679,37
4117,37
7674,37
3867,37
8283,37
1373,37
7218,37
2547,37
7652,37
5278,37
3147,37
5134,37
8017,37
8436,37
9265,37
3905,37
486,37
5770,37
4381,37
4415,37
8179,37
2020,37
2788,37
5666,37
7671,37
945,37
8765,37
6476,37
9986,37
9811,37
9054,37
3041,37
1175,37
4985,37
3329,37
455,37
9625,37
2759,37
9191,37
7060,37
6614,37
1251,37
6579,37
9034,37
1999,37
4284,37
5068,37
2563,37
3284,37
2276,37
8666,37
9415,37
8711,37
6059,37
7165,37
5879,37
4633,37
9284,37
8173,37
3956,37
2378,37
5350,37
8018,37
6766,37
1017,37
4125,37
6492,37
2074,37
4995,37
7183,37
6459,37
1221,37
3428,37
4052,37
3416,37
7868,37
4019,37
3068,37
5999,37
1701,37
2766,37
9398,37
5254,37
7424,37
9622,37
1697,37
7351,37
6635,37
2138,37
9274,37
8041,37
4157,36
1185,36
6942,36
8395,36
3487,36
9633,36
4232,36
24,36
8440,36
2396,36
4024,36
3227,36
820,36
8738,36
352,36
4863,36
2445,36
7251,36
35,36
8756,36
6868,36
5325,36
8193,36
6025,36
6442,36
5039,36
2382,36
8447,36
62,36
7864,36
4278,36
4724,36
4445,36
8346,36
154,36
89,36
1844,36
5070,36
112,36
1454,36
7502,36
7688,36
8195,36
5721,36
9825,36
1228,36
1624,36
5711,36
4629,36
1252,36
3551,36
5160,36
8116,36
6495,36
8640,36
4288,36
4307,36
5395,36
9799,36
5540,36
7308,36
2057,36
7118,36
1818,36
4892,36
2580,36
8783,36
8812,36
6539,36
5391,36
5851,36
5266,36
6744,36
5152,36
1823,36
5484,36
9136,36
7572,36
8029,36
3857,36
3399,36
555,36
9529,36
8167,36
8615,36
1967,36
3398,36
8302,36
5101,36
8157,36
8518,36
9573,36
7698,36
8578,36
9298,36
2726,36
2851,36
2217,36
650,36
6898,36
7433,36
1171,36
1969,36
8454,36
3822,36
4027,36
7201,36
2076,36
4233,36
8648,36
7760,36
2157,36
9365,36
7377,36
1970,36
4085,36
5175,36
3809,36
5765,36
4610,36
990,36
9646,36
9556,36
8665,36
6926,35
50,35
9966,35
7009,35
1648,35
826,35
2732,35
3120,35
1294,35
6183,35
1114,35
9481,35
618,35
6667,35
6237,35
6026,35
5216,35
7510,35
228,35
1327,35
3336,35
2008,35
7500,35
4319,35
4779,35
4602,35
3076,35
3903,35
8796,35
9273,35
6307,35
6215,35
5562,35
508,35
8563,35
6161,35
5251,35
1376,35
4446,35
8246,35
159,35
9032,35
5469,35
9525,35
8861,35
666,35
6542,35
3789,35
4150,35
9226,35
6210,35
1940,35
9585,35
5343,35
236,35
8693,35
7109,35
7198,35
9504,35
1496,35
8237,35
9593,35
3922,35
8428,35
3748,35
7440,35
3100,35
422,35
568,35
2559,35
7421,35
6029,35
6316,35
2712,35
8710,35
9495,35
519,35
2195,35
6282,35
1580,35
309,35
5995,35
8279,35
2419,35
2052,35
8533,35
3823,35
516,35
1741,35
6432,35
9670,35
3127,35
2762,35
9212,35
613,35
2273,35
8196,35
8151,35
2233,35
4638,35
8944,35
1351,35
5224,35
5037,35
7581,35
3854,35
2068,35
9564,35
5302,35
3678,35
2690,35
7544,35
4466,35
9818,35
1088,35
4679,35
5580,35
7594,34
5470,34
5709,34
4954,34
2399,34
4221,34
2847,34
4002,34
32,34
7575,34
5817,34
7918,34
1720,34
38,34
5515,34
4905,34
2672,34
1398,34
3052,34
4060,34
3658,34
1027,34
2789,34
541,34
7327,34
9322,34
6948,34
1791,34
6362,34
337,34
3337,34
4878,34
2843,34
7616,34
6204,34
3283,34
8330,34
2861,34
5180,34
7979,34
7836,34
4088,34
7374,34
6795,34
2132,34
2583,34
8407,34
1863,34
6694,34
6176,34
5990,34
7558,34
4000,34
145,34
4343,34
893,34
1536,34
1054,34
2415,34
1710,34
7242,34
4932,34
6400,34
4759,34
9085,34
9980,34
3954,34
2206,34
6485,34
6837,34
5617,34
5779,34
6668,34
5130,34
1676,34
6691,34
1892,34
8267,34
248,34
6956,34
7315,34
7264,34
3853,34
8583,34
1421,34
3959,34
5014,34
7334,34
753,34
276,34
7965,34
4947,34
5870,34
7280,34
5926,34
6445,34
6167,34
4832,34
4623,34
6293,34
5590,34
8725,34
6321,34
418,34
7780,34
6383,34
5353,34
3478,34
9207,34
8003,34
9672,34
7659,34
2260,34
5875,34
9634,34
5857,34
6305,34
6656,34
4744,34
6129,34
742,34
4450,34
8529,34
2046,34
5386,34
999,34
6462,34
7800,34
6755,34
6666,34
2305,34
7942,34
2849,34
2769,34
4871,34
4268,34
2118,34
4710,34
849,34
9617,34
7792,34
2779,34
7075,34
8465,34
7801,34
2246,34
7483,34
1486,34
3581,34
9317,34
3007,34
5340,33
6083,33
5689,33
1495,33
4951,33
6928,33
8584,33
9326,33
12,33
4354,33
5125,33
5238,33
1207,33
