X,Y,Z,label
2.232720136642456055e+00,3.312413406372070312e+01,-1.051000118255615234e+01,0.000000000000000000e+00
1.980122375488281250e+01,-2.384308433532714844e+01,3.223997116088867188e+00,1.000000000000000000e+00
1.457578563690185547e+01,-1.285027790069580078e+01,-4.598673343658447266e+00,2.000000000000000000e+00
-2.255033493041992188e+01,3.365536451339721680e+00,3.317934274673461914e+00,3.000000000000000000e+00
3.158968925476074219e+01,7.107991695404052734e+00,-2.658175706863403320e+00,4.000000000000000000e+00
-2.563795661926269531e+01,1.748780059814453125e+01,-1.533576965332031250e+01,5.000000000000000000e+00
2.430744171142578125e+01,1.107711601257324219e+01,2.291016578674316406e+01,6.000000000000000000e+00
-1.095211219787597656e+01,-2.469480323791503906e+01,-1.123867321014404297e+01,7.000000000000000000e+00
3.514951229095458984e+00,-4.480453491210937500e+00,1.401409387588500977e+00,8.000000000000000000e+00
-1.885944557189941406e+01,1.621956634521484375e+01,-1.367195606231689453e+01,9.000000000000000000e+00
4.138012886047363281e+00,2.535255241394042969e+01,-9.808439254760742188e+00,0.000000000000000000e+00
-2.063129425048828125e+00,-6.190493106842041016e+00,-2.260952758789062500e+01,1.000000000000000000e+00
-7.869508743286132812e+00,-6.118038654327392578e+00,2.158720970153808594e+01,2.000000000000000000e+00
-2.897578811645507812e+01,-8.716766357421875000e+00,-7.772442102432250977e-01,3.000000000000000000e+00
3.202647781372070312e+01,2.190780639648437500e+00,-8.225129127502441406e+00,4.000000000000000000e+00
-2.529694080352783203e+00,-2.962739944458007812e+01,1.655249404907226562e+01,5.000000000000000000e+00
2.384304237365722656e+01,5.400076866149902344e+00,1.381766700744628906e+01,6.000000000000000000e+00
1.809207797050476074e+00,-2.648827552795410156e+01,-2.117080497741699219e+01,7.000000000000000000e+00
-6.277353167533874512e-01,-1.549346828460693359e+01,7.209132671356201172e+00,8.000000000000000000e+00
-2.617958259582519531e+01,1.158765983581542969e+01,-2.225556850433349609e+00,9.000000000000000000e+00
1.948513031005859375e+00,2.077145385742187500e+01,9.861016273498535156e-01,0.000000000000000000e+00
-1.023849606513977051e+00,-2.208366870880126953e+00,-2.263681602478027344e+01,1.000000000000000000e+00
-1.020324134826660156e+01,-9.268120765686035156e+00,2.252665710449218750e+01,2.000000000000000000e+00
-2.960055541992187500e+01,-1.549454975128173828e+01,-4.495816826820373535e-01,3.000000000000000000e+00
3.197640609741210938e+01,2.716854333877563477e+00,-2.069126129150390625e+00,4.000000000000000000e+00
-3.081464529037475586e+00,-2.642692565917968750e+01,2.629690170288085938e+01,5.000000000000000000e+00
