BASE_NODE, NEIGHBOUR 
0,0
0,4245
0,1920
0,4829
0,1907
0,7555
0,6926
0,8720
0,3868
0,5340
0,4168
0,7885
0,3394
0,6083
0,8487
0,925
0,8884
0,4327
0,6989
0,8982
1,1
1,1093
1,336
1,8760
1,9678
1,7594
1,3186
1,5003
1,2351
1,3985
1,9374
1,4275
1,3874
1,50
1,5689
1,8226
1,5202
1,557
1,533
1,9966
2,2
2,7009
2,8121
2,2370
2,8071
2,6441
2,1545
2,4395
2,9001
2,9114
2,2172
2,9714
2,5801
2,8107
2,3709
2,3270
2,3739
2,4648
2,7981
2,6684
3,3
3,720
3,5029
3,2924
3,632
3,7086
3,8371
3,8216
3,9803
3,9315
3,1215
3,9099
3,5483
3,644
3,5010
3,7959
3,268
3,8288
3,3913
3,7267
4,4
4,2992
4,1495
4,297
4,3877
4,4132
4,7409
4,3036
4,4202
4,6382
4,6621
4,3897
4,1574
4,1648
4,3452
4,2632
4,8459
4,5982
4,1903
4,9422
5,5
5,5745
5,649
5,8994
5,2875
5,9275
5,441
5,5233
5,1227
5,8528
5,9828
5,6409
5,1256
5,7950
5,9266
5,8335
5,6108
5,5815
5,1964
5,8310
6,6
6,5874
6,4227
6,7962
6,8537
6,400
6,2569
6,4606
6,5902
6,4316
6,4869
6,7921
6,4951
6,5312
6,1826
6,7478
6,3241
6,9571
6,1706
6,8044
7,7
7,7486
7,6866
7,7620
7,2835
7,6304
7,2025
7,9303
7,4636
7,745
7,1198
7,4968
7,1448
7,9698
7,9565
7,5322
7,9798
7,5470
7,9763
7,6928
8,8
8,7862
8,7273
8,48
8,9093
8,1517
8,8790
8,8828
8,3030
8,4569
8,1706
8,3666
8,8329
8,8932
8,7288
8,4789
8,8788
8,9043
8,4795
8,6741
9,9
9,7882
9,5531
9,1422
9,7348
9,5426
9,5734
9,1683
9,4876
9,7808
9,2360
9,7080
9,383
9,7001
9,6883
9,8584
9,2667
9,3696
9,3421
9,3545
10,10
10,8664
10,5163
10,9822
10,6317
10,9932
10,5080
10,4157
10,122
10,4253
10,5156
10,329
10,5108
10,8874
10,3273
10,3034
10,3259
10,5988
10,2287
10,1479
11,11
11,9326
11,125
11,3221
11,3773
11,4165
11,7553
11,4321
11,1311
11,142
11,4851
11,7887
11,3971
11,3419
11,4690
11,215
11,8748
11,687
11,947
11,3354
12,12
12,2205
12,9984
12,3672
12,8188
12,5190
12,5122
12,3085
12,1185
12,9178
12,1508
12,67
12,9724
12,3144
12,9938
12,4291
12,4378
12,6937
12,6679
12,4354
13,13
13,793
13,825
13,2986
13,9254
13,6597
13,826
13,5471
13,664
13,5860
13,7912
13,1857
13,3594
13,8471
13,4530
13,6457
13,9789
13,6942
13,1744
13,7261
14,14
14,7298
14,8851
14,232
14,9904
14,6236
14,689
14,2975
14,9115
14,8915
14,9025
14,3788
14,8247
14,5103
14,6763
14,4471
14,7959
14,1048
14,3226
14,5886
15,15
15,2638
15,39
15,7379
15,2732
15,7150
15,2937
15,9027
15,4631
15,5744
15,694
15,2038
15,8535
15,8024
15,4868
15,158
15,5655
15,7626
15,7821
15,603
16,16
16,9608
16,2462
16,1031
16,3837
16,6378
16,6768
16,1753
16,550
16,9584
16,2941
16,7011
16,3606
16,9129
16,7820
16,75
16,660
16,2289
16,9730
16,2879
17,17
17,4132
17,3120
17,6707
17,3694
17,2824
17,3323
17,5709
17,4964
17,6621
17,4954
